Grupo,Codigo_Regiao,Reg_Saude,Município,Total,Semana,Casos,Cod_Munic
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,1,11,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,2,21,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,3,43,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,4,38,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,5,61,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,6,69,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,7,87,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,8,74,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,9,66,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,10,97,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,11,65,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,12,67,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,13,46,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,14,56,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,15,39,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,16,48,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,17,39,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,18,31,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,19,19,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,20,17,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,21,7,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,22,5,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,23,0,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,24,5,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,25,4,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,26,0,350010
MARÍLIA,35091,ADAMANTINA,Adamantina,1.016,27,1,350010
